Statistical profiling result from isolate-0x130008000-64699-v8.log, (39114 ticks, 872 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     10    0.0%    0.0%  JS: *wait /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/subscriber/BroadcasterResult.js:21:15
     10    0.0%    0.0%  JS: *transformRawResultsGroup /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/transformer/RawSqlResultsToEntityTransformer.js:100:29
     10    0.0%    0.0%  JS: *isLogEnabledFor /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/logger/AbstractLogger.js:143:20
     10    0.0%    0.0%  JS: *createPropertyPath /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryBuilder.js:905:23
     10    0.0%    0.0%  JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/metadata/EntityMetadata.js:556:31
      9    0.0%    0.0%  RegExp: ^\d\d\d\d-\d\d-\d\d \d\d:\d\d
      9    0.0%    0.0%  JS: *replacement /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/trace.js:17:50
      9    0.0%    0.0%  JS: *getTableName /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryBuilder.js:362:17
      9    0.0%    0.0%  JS: *getEntityValueMap /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/metadata/ColumnMetadata.js:339:22
      9    0.0%    0.0%  JS: *from /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:165:9
      9    0.0%    0.0%  JS: *extname node:path:1475:10
      9    0.0%    0.0%  JS: *computeLineStarts /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:11632:27
      9    0.0%    0.0%  JS: *QueryBuilder /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryBuilder.js:32:16
